,yearID,teamID,POS,RBI,name
0,2001,CHN,OF,160,"Sosa, Sammy"
1,2007,NYA,SS,156,"Rodriguez, Alex"
2,2007,NYA,3B,156,"Rodriguez, Alex"
3,2007,NYA,1B,156,"Rodriguez, Alex"
4,2004,BAL,SS,150,"Tejada, Miguel"
5,2004,BAL,3B,150,"Tejada, Miguel"
6,2004,BAL,2B,150,"Tejada, Miguel"
7,2004,BAL,1B,150,"Tejada, Miguel"
8,2006,PHI,1B,149,"Howard, Ryan"
9,2005,BOS,1B,148,"Ortiz, David"
10,2000,COL,1B,147,"Helton, Todd"
11,2000,COL,OF,147,"Helton, Todd"
12,2001,COL,1B,146,"Helton, Todd"
13,2001,COL,OF,146,"Helton, Todd"
14,2008,PHI,1B,146,"Howard, Ryan"
15,2000,SEA,3B,145,"Martinez, Edgar"
16,2000,SEA,1B,145,"Martinez, Edgar"
17,2003,TOR,C,145,"Delgado, Carlos"
18,2003,TOR,OF,145,"Delgado, Carlos"
19,2003,TOR,1B,145,"Delgado, Carlos"
20,2000,KCA,C,144,"Sweeney, Mike"
21,2000,KCA,1B,144,"Sweeney, Mike"
22,2005,BOS,OF,144,"Ramirez, Manny"
23,2005,TEX,1B,144,"Teixeira, Mark"
24,2005,TEX,3B,144,"Teixeira, Mark"
25,2005,TEX,OF,144,"Teixeira, Mark"
26,2000,CHA,1B,143,"Thomas, Frank"
27,2001,ARI,1B,142,"Gonzalez, Luis"
28,2001,ARI,3B,142,"Gonzalez, Luis"
29,2001,ARI,OF,142,"Gonzalez, Luis"
30,2002,TEX,SS,142,"Rodriguez, Alex"
31,2002,TEX,3B,142,"Rodriguez, Alex"
32,2002,TEX,1B,142,"Rodriguez, Alex"
33,2001,SEA,2B,141,"Boone, Bret"
34,2001,SEA,3B,141,"Boone, Bret"
35,2003,COL,OF,141,"Wilson, Preston"
36,2009,MIL,1B,141,"Fielder, Prince"
37,2009,PHI,1B,141,"Howard, Ryan"
38,2001,CLE,OF,140,"Gonzalez, Juan"
39,2004,BOS,1B,139,"Ortiz, David"
40,2007,DET,OF,139,"Ordonez, Magglio"
41,2012,DET,3B,139,"Cabrera, Miguel"
42,2012,DET,OF,139,"Cabrera, Miguel"
43,2012,DET,1B,139,"Cabrera, Miguel"
44,2000,CHN,OF,138,"Sosa, Sammy"
45,2013,BAL,1B,138,"Davis, Chris"
46,2013,BAL,3B,138,"Davis, Chris"
47,2013,BAL,OF,138,"Davis, Chris"
48,2000,TOR,C,137,"Delgado, Carlos"
49,2000,TOR,OF,137,"Delgado, Carlos"
50,2000,TOR,1B,137,"Delgado, Carlos"
51,2000,OAK,1B,137,"Giambi, Jason"
52,2000,OAK,3B,137,"Giambi, Jason"
53,2000,OAK,OF,137,"Giambi, Jason"
54,2001,SFN,OF,137,"Bonds, Barry"
55,2006,BOS,1B,137,"Ortiz, David"
56,2006,SLN,1B,137,"Pujols, Albert"
57,2006,SLN,3B,137,"Pujols, Albert"
58,2006,SLN,OF,137,"Pujols, Albert"
59,2006,SLN,SS,137,"Pujols, Albert"
60,2006,SLN,2B,137,"Pujols, Albert"
61,2007,COL,OF,137,"Holliday, Matt"
62,2007,COL,1B,137,"Holliday, Matt"
63,2013,DET,3B,137,"Cabrera, Miguel"
64,2013,DET,OF,137,"Cabrera, Miguel"
65,2013,DET,1B,137,"Cabrera, Miguel"
66,2006,HOU,1B,136,"Berkman, Lance"
67,2006,HOU,OF,136,"Berkman, Lance"
68,2007,PHI,1B,136,"Howard, Ryan"
69,2001,TEX,SS,135,"Rodriguez, Alex"
70,2001,TEX,3B,135,"Rodriguez, Alex"
71,2001,TEX,1B,135,"Rodriguez, Alex"
72,2002,CHA,OF,135,"Ordonez, Magglio"
73,2009,SLN,1B,135,"Pujols, Albert"
74,2009,SLN,3B,135,"Pujols, Albert"
75,2009,SLN,OF,135,"Pujols, Albert"
76,2009,SLN,SS,135,"Pujols, Albert"
77,2009,SLN,2B,135,"Pujols, Albert"
78,2016,COL,3B,133,"Arenado, Nolan"
79,2000,HOU,1B,132,"Bagwell, Jeff"
80,2000,HOU,OF,132,"Bagwell, Jeff"
81,2000,SEA,SS,132,"Rodriguez, Alex"
82,2000,SEA,3B,132,"Rodriguez, Alex"
83,2000,SEA,1B,132,"Rodriguez, Alex"
84,2003,ATL,SS,132,"Sheffield, Gary"
85,2003,ATL,3B,132,"Sheffield, Gary"
86,2003,ATL,OF,132,"Sheffield, Gary"
87,2003,ATL,1B,132,"Sheffield, Gary"
88,2017,MIA,OF,132,"Stanton, Giancarlo"
89,2002,OAK,SS,131,"Tejada, Miguel"
90,2002,OAK,3B,131,"Tejada, Miguel"
91,2002,OAK,2B,131,"Tejada, Miguel"
92,2002,OAK,1B,131,"Tejada, Miguel"
93,2003,PHI,3B,131,"Thome, Jim"
94,2003,PHI,1B,131,"Thome, Jim"
95,2004,COL,SS,131,"Castilla, Vinny"
96,2004,COL,3B,131,"Castilla, Vinny"
97,2004,COL,1B,131,"Castilla, Vinny"
98,2004,COL,2B,131,"Castilla, Vinny"
99,2001,HOU,1B,130,"Bagwell, Jeff"
100,2001,HOU,OF,130,"Bagwell, Jeff"
101,2001,SLN,1B,130,"Pujols, Albert"
102,2001,SLN,3B,130,"Pujols, Albert"
103,2001,SLN,OF,130,"Pujols, Albert"
104,2001,SLN,SS,130,"Pujols, Albert"
105,2001,SLN,2B,130,"Pujols, Albert"
106,2004,BOS,OF,130,"Ramirez, Manny"
107,2005,NYA,SS,130,"Rodriguez, Alex"
108,2005,NYA,3B,130,"Rodriguez, Alex"
109,2005,NYA,1B,130,"Rodriguez, Alex"
110,2006,MIN,1B,130,"Morneau, Justin"
111,2008,TEX,OF,130,"Hamilton, Josh"
112,2015,COL,3B,130,"Arenado, Nolan"
113,2017,COL,3B,130,"Arenado, Nolan"
114,2018,BOS,OF,130,"Martinez, J. D."
115,2006,ATL,OF,129,"Jones, Andruw"
116,2006,ATL,1B,129,"Jones, Andruw"
117,2008,MIN,1B,129,"Morneau, Justin"
118,2002,HOU,1B,128,"Berkman, Lance"
119,2002,HOU,OF,128,"Berkman, Lance"
120,2005,ATL,OF,128,"Jones, Andruw"
121,2005,ATL,1B,128,"Jones, Andruw"
122,2012,TEX,OF,128,"Hamilton, Josh"
123,2002,SLN,1B,127,"Pujols, Albert"
124,2002,SLN,3B,127,"Pujols, Albert"
125,2002,SLN,OF,127,"Pujols, Albert"
126,2002,SLN,SS,127,"Pujols, Albert"
127,2002,SLN,2B,127,"Pujols, Albert"
128,2008,DET,3B,127,"Cabrera, Miguel"
129,2008,DET,OF,127,"Cabrera, Miguel"
130,2008,DET,1B,127,"Cabrera, Miguel"
131,2016,TOR,3B,127,"Encarnacion, Edwin"
132,2016,TOR,1B,127,"Encarnacion, Edwin"
133,2016,TOR,OF,127,"Encarnacion, Edwin"
134,2016,TOR,2B,127,"Encarnacion, Edwin"
135,2016,BOS,1B,127,"Ortiz, David"
136,2000,CHA,OF,126,"Ordonez, Magglio"
137,2001,HOU,1B,126,"Berkman, Lance"
138,2001,HOU,OF,126,"Berkman, Lance"
139,2001,SDN,3B,126,"Nevin, Phil"
140,2001,SDN,OF,126,"Nevin, Phil"
141,2001,SDN,C,126,"Nevin, Phil"
142,2001,SDN,1B,126,"Nevin, Phil"
143,2004,ANA,OF,126,"Guerrero, Vladimir"
144,2010,DET,3B,126,"Cabrera, Miguel"
145,2010,DET,OF,126,"Cabrera, Miguel"
146,2010,DET,1B,126,"Cabrera, Miguel"
147,2011,LAN,OF,126,"Kemp, Matt"
148,2019,WAS,2B,126,"Rendon, Anthony"
149,2019,WAS,3B,126,"Rendon, Anthony"
150,2019,WAS,SS,126,"Rendon, Anthony"
151,2000,SFN,1B,125,"Kent, Jeff"
152,2000,SFN,2B,125,"Kent, Jeff"
153,2000,SFN,3B,125,"Kent, Jeff"
154,2000,SFN,SS,125,"Kent, Jeff"
155,2001,LAN,OF,125,"Green, Shawn"
156,2001,LAN,1B,125,"Green, Shawn"
157,2001,BOS,OF,125,"Ramirez, Manny"
158,2001,MIL,1B,125,"Sexson, Richie"
159,2001,MIL,OF,125,"Sexson, Richie"
160,2007,LAA,OF,125,"Guerrero, Vladimir"
161,2010,NYA,SS,125,"Rodriguez, Alex"
162,2010,NYA,3B,125,"Rodriguez, Alex"
163,2010,NYA,1B,125,"Rodriguez, Alex"
164,2013,ARI,1B,125,"Goldschmidt, Paul"
165,2001,CLE,3B,124,"Thome, Jim"
166,2001,CLE,1B,124,"Thome, Jim"
167,2003,SLN,1B,124,"Pujols, Albert"
168,2003,SLN,3B,124,"Pujols, Albert"
169,2003,SLN,OF,124,"Pujols, Albert"
170,2003,SLN,SS,124,"Pujols, Albert"
171,2003,SLN,2B,124,"Pujols, Albert"
172,2003,MIL,1B,124,"Sexson, Richie"
173,2003,MIL,OF,124,"Sexson, Richie"
174,2004,SLN,3B,124,"Rolen, Scott"
175,2008,NYN,3B,124,"Wright, David"
176,2008,NYN,SS,124,"Wright, David"
177,2010,TOR,3B,124,"Bautista, Jose"
178,2010,TOR,OF,124,"Bautista, Jose"
179,2010,TOR,2B,124,"Bautista, Jose"
180,2010,TOR,1B,124,"Bautista, Jose"
181,2017,MIA,OF,124,"Ozuna, Marcell"
182,2000,PIT,OF,123,"Giles, Brian"
183,2000,MON,OF,123,"Guerrero, Vladimir"
184,2001,ANA,OF,123,"Anderson, Garret"
185,2001,TEX,OF,123,"Palmeiro, Rafael"
186,2001,TEX,1B,123,"Palmeiro, Rafael"
187,2001,COL,OF,123,"Walker, Larry"
188,2001,COL,1B,123,"Walker, Larry"
189,2001,COL,2B,123,"Walker, Larry"
190,2001,COL,3B,123,"Walker, Larry"
191,2002,ANA,OF,123,"Anderson, Garret"
192,2004,SLN,1B,123,"Pujols, Albert"
193,2004,SLN,3B,123,"Pujols, Albert"
194,2004,SLN,OF,123,"Pujols, Albert"
195,2004,SLN,SS,123,"Pujols, Albert"
196,2004,SLN,2B,123,"Pujols, Albert"
197,2005,NYA,SS,123,"Sheffield, Gary"
198,2005,NYA,3B,123,"Sheffield, Gary"
199,2005,NYA,OF,123,"Sheffield, Gary"
200,2005,NYA,1B,123,"Sheffield, Gary"
201,2006,SEA,OF,123,"Ibanez, Raul"
202,2006,SEA,1B,123,"Ibanez, Raul"
203,2006,SEA,C,123,"Ibanez, Raul"
204,2006,SEA,3B,123,"Ibanez, Raul"
205,2015,TOR,1B,123,"Donaldson, Josh"
206,2015,TOR,C,123,"Donaldson, Josh"
207,2015,TOR,3B,123,"Donaldson, Josh"
208,2015,TOR,SS,123,"Donaldson, Josh"
209,2018,OAK,OF,123,"Davis, Khris"
210,2019,CHA,1B,123,"Abreu, Jose"
211,2000,HOU,OF,122,"Hidalgo, Richard"
212,2000,CLE,OF,122,"Ramirez, Manny"
213,2002,NYA,1B,122,"Giambi, Jason"
214,2002,NYA,3B,122,"Giambi, Jason"
215,2002,NYA,OF,122,"Giambi, Jason"
216,2009,NYA,1B,122,"Teixeira, Mark"
217,2009,NYA,3B,122,"Teixeira, Mark"
218,2009,NYA,OF,122,"Teixeira, Mark"
219,2000,NYA,OF,121,"Williams, Bernie"
220,2000,FLO,OF,121,"Wilson, Preston"
221,2004,LAN,3B,121,"Beltre, Adrian"
222,2004,LAN,SS,121,"Beltre, Adrian"
223,2004,LAN,2B,121,"Beltre, Adrian"
224,2004,NYA,SS,121,"Sheffield, Gary"
225,2004,NYA,3B,121,"Sheffield, Gary"
226,2004,NYA,OF,121,"Sheffield, Gary"
227,2004,NYA,1B,121,"Sheffield, Gary"
228,2005,SEA,1B,121,"Sexson, Richie"
229,2005,SEA,OF,121,"Sexson, Richie"
230,2006,NYA,SS,121,"Rodriguez, Alex"
231,2006,NYA,3B,121,"Rodriguez, Alex"
232,2006,NYA,1B,121,"Rodriguez, Alex"
233,2007,TBA,1B,121,"Pena, Carlos"
234,2007,TBA,OF,121,"Pena, Carlos"
235,2019,ATL,1B,121,"Freeman, Freddie"
236,2019,ATL,3B,121,"Freeman, Freddie"
237,2000,TEX,OF,120,"Palmeiro, Rafael"
238,2000,TEX,1B,120,"Palmeiro, Rafael"
239,2001,OAK,1B,120,"Giambi, Jason"
240,2001,OAK,3B,120,"Giambi, Jason"
241,2001,OAK,OF,120,"Giambi, Jason"
242,2002,BOS,2B,120,"Garciaparra, Nomar"
243,2002,BOS,SS,120,"Garciaparra, Nomar"
244,2002,BOS,3B,120,"Garciaparra, Nomar"
245,2002,BOS,1B,120,"Garciaparra, Nomar"
246,2006,COL,3B,120,"Atkins, Garrett"
247,2006,COL,1B,120,"Atkins, Garrett"
248,2006,COL,OF,120,"Atkins, Garrett"
249,2006,COL,2B,120,"Atkins, Garrett"
